Symbol	Class
ADAD1	Deaminase
ADAD2	Deaminase
ADAR	Deaminase
ADARB1	Deaminase
ADARB2	Deaminase
ADAT1	Deaminase
ADAT2	Deaminase
ADAT3	Deaminase
ALKBH1	Eraser
ALKBH2	Eraser
ALKBH3	Eraser
ALKBH5	Eraser
ALKBH8	Methylase
APOBEC1	Deaminase
APOBEC3A	Deaminase
APOBEC3G	Deaminase
BCDIN3D	Methylase
BUD23	Methylase
CBLL1	Subunit
CDK5RAP1	OthertRNA
CDKAL1	OthertRNA
CIAO1	OthertRNA
CMTR1	Methylase
CMTR2	Methylase
CTU1	OthertRNA
CTU2	OthertRNA
DIMT1	Methylase
DKC1	Pseudouridylase
DUS2	OthertRNA
EIF3A	Reader
ELP1	OthertRNA
ELP3	OthertRNA
ELP4	OthertRNA
ELP5	OthertRNA
EMG1	Methylase
FBL	Methylase
FBLL1	Methylase
FTO	Eraser
FTSJ1	Methylase
FTSJ3	Methylase
GTPBP3	OthertRNA
HENMT1	Methylase
HNRNPA2B1	Reader
HNRNPC	Reader
HSD17B10	OthertRNA
ISCU	OthertRNA
JMJD6	Eraser
LAGE3	OthertRNA
LCMT2	Methylase
MEPCE	Methylase
METTL1	Methylase
METTL14	Subunit
METTL15	Methylase
METTL16	Methylase
METTL17	Methylase
METTL27	Methylase
METTL2A	Methylase
METTL2B	Methylase
METTL3	Methylase
METTL4	Methylase
METTL5	Methylase
METTL6	Methylase
METTL8	Methylase
METTL9	Methylase
MOCS3	OthertRNA
MPST	OthertRNA
MRM1	Methylase
MRM2	Methylase
MRM3	Methylase
MTO1	OthertRNA
NAT10	OthertRNA
NFS1	OthertRNA
NOP2	Methylase
NSUN2	Methylase
NSUN3	Methylase
NSUN4	Methylase
NSUN5	Methylase
NSUN6	Methylase
NSUN7	Methylase
NUBP1	OthertRNA
OSGEP	OthertRNA
OSGEPL1	OthertRNA
PCIF1	Methylase
PUS1	Pseudouridylase
PUS10	Pseudouridylase
PUS3	Pseudouridylase
PUS7	Pseudouridylase
PUS7L	Pseudouridylase
PUSL1	Pseudouridylase
QTRT1	OthertRNA
RBM15	Subunit
RBM15B	Subunit
RBM15B	Subunit
RNMT	Methylase
RPUSD1	Pseudouridylase
RPUSD2	Pseudouridylase
RPUSD3	Pseudouridylase
RPUSD4	Pseudouridylase
RRP8	Methylase
SERGEF	OthertRNA
SPOUT1	Methylase
TARBP1	Methylase
TFB1M	Methylase
TFB2M	Methylase
TGS1	Methylase
THG1L	OthertRNA
THUMPD1	OthertRNA
THUMPD2	Methylase
THUMPD3	Methylase
TP53RK	OthertRNA
TPRKB	OthertRNA
TRDMT1	Methylase
TRIT1	OthertRNA
TRMO	Methylase
TRMT1	Methylase
TRMT10A	Methylase
TRMT10B	Methylase
TRMT10C	Methylase
TRMT11	Methylase
TRMT112	Subunit
TRMT12	Methylase
TRMT13	Methylase
TRMT1L	Methylase
TRMT2A	Methylase
TRMT2B	Methylase
TRMT44	Methylase
TRMT5	Methylase
TRMT6	Subunit
TRMT61A	Methylase
TRMT61B	Methylase
TRMT9B	Methylase
TRMU	OthertRNA
TRUB1	Pseudouridylase
TRUB2	Pseudouridylase
TYW3	Methylase
VIRMA	Subunit
WDR4	Subunit
WDR6	OthertRNA
WTAP	Subunit
YRDC	OthertRNA
YTHDC1	Reader
YTHDC2	Reader
YTHDF1	Reader
YTHDF2	Reader
YTHDF3	Reader
ZC3H13	Subunit
ZCCHC4	Methylase